This supplement lists certain entities or addresses subject to license requirements and other Entity List restrictions for specified items under this part 744 and part 746 of the EAR. License requirements for these entities include exports, reexports, and transfers (in-country) unless otherwise stated. A license is required, to the extent specified on the Entity List, to export, reexport, or transfer (in-country) any item subject to the EAR when an entity or a party to the transaction is operating at an address that is listed on the Entity List under an address entry is a party to the transaction as described in § 748.5(c) through (f) of the EAR. The Entity List license requirements and other Entity List restrictions also apply to any foreign entity that is owned, directly or indirectly, individually or in aggregate, 50 percent or more by one or more listed entities or entities that are subject to restrictions based upon their ownership. An entity owned 50 percent or more, directly or indirectly, by multiple entities subject to EAR license requirements pursuant to some combination of the Entity List, MEU List, or SDN List designated under programs listed in § 744.8(a)(1), is subject to the most restrictive license requirements, license exception eligibility, and license review policy applicable to one or more of its owners under the EAR. If an exporter, reexporter, or transferor cannot determine the ownership percentage of a foreign entity that is an entity owned, directly or indirectly, by one or more listed entities, they must resolve the Red Flag or obtain a license from BIS prior to proceeding with the export, reexport, or transfer (in-country), unless a license exception is available (see Red Flag 29 in supplement no. 3 to part 732). This list is revised and updated on a periodic basis in this supplement by adding new or amended notifications and deleting notifications no longer in effect.
Country | Entity | License requirement | License reviewpolicy | Federal Register citation
AFGHANISTAN | Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Chinese Academy of Science, Center for Excellence in Quantum Information and Quantum Physics, a.k.a., the following three aliases: —Collaborative Innovation Center for Frontiers of Quantum Information and Quantum Technology; —Quantum Innovation Institute; and —Quantum 2011. No. 96, Jinzhai Road, Hefei, China; and Wangjiang West Road, Shushan District, Hefei, China; and No. 62, Taihu Road, Baohe District, Hefei, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Chinese Academy of Sciences Changchun Institute of Optics, Fine Mechanics, and Physics, a.k.a., the following three aliases: —Changchun Institute of Optics, Fine Mechanics, and Physics, CAS; —CAS Institute of Optics, Fine Mechanics, and Physics; and —CIOMP. 3888 E Nanhu Road, Changchun, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 561, 1/6/25.
Chinese Academy of Sciences Institute of Computing Technology, a.k.a., the following four aliases: —Institute of Computing Technology Chinese Academy of Sciences; —Institute of Computing Technology; —CAS ICT; and —ICT CAS. No. 6, South Academy of Sciences Road, Zhongguancun, Haidian District, Beijing, China and No. 6 Kexueyuan South Road, Zhongguaneun, Haidian District, Beijing, China and No. 6 Kexueyuan South Road, Zhonggu, Haidian District, Beijing, China. | For all items subject to the EAR. (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 87 FR 77508, 12/19/22.
Chinese Academy of Sciences Institute of Microelectronics, a.k.a., the following 6 aliases: —CAS IME; —IME CAS; —IMECAS; —CAS Institute of Microelectronics; —CAS Microelectronics Institute; and —Institute of Microelectronics of the Chinese Academy of Sciences. #3 Beitucheng West Road, Chaoyang District, Beijing, China; and No. 3, North Tucheng West Road, Chaoyang District, Beijing, China. | For all items subject to the EAR (See §§ 734.4(a)(9), 734.9(e)(3), and 744.11 of the EAR) 5 | Presumption of denial | 89 FR 96836, 12/5/24.
Chinese Academy of Sciences, Institute of Physics, a.k.a., the following one alias: —IOPCAS. No. 8, Zhongguancun South Third Street, Haidian District, Beijing, China; and No. 8, Zhongguancun South 3rd Street, between the 3rd and 4th rings of Zhongguancun Street, Haidian District, Beijing, China; and No. 5, Xizai Road, Huairou District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Chinese Academy of Sciences, Key Laboratory for Quantum Information, a.k.a., the following one alias: —KLQI. East District, University of Science and Technology of China, No. 96, Jinzhai Road, Baohe District, Hefei, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Chinese Academy of Sciences, National Time Service Center, a.k.a., the following three aliases: —NTSC; —NTS; and —Shaanxi Astronomical Observatory of the Chinese Academy of Sciences. No. 3, Shuyuan East Road, Xi'an Shaanxi, 710600, China; and P.O. Box 18, Lintong District, Xi'an, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 44499, 9/16/25.
Chinese Academy of Sciences' Shanghai Institute of Microsystem and Information Technology, a.k.a., the following three aliases: —SIMIT; —Shanghai Institute of Metallurgy; and —SIMIT-CAS. Building 8, No. 865, Changning Road, Changning District, Shanghai, China; and Building A, No. 1455, Pingcheng Road, Jiading District, Shanghai, China; and Jiading Park, No. 235, Chengbei Road, China; and No. 800, Yishan Road, Xuhui District, Shanghai, China; and Room 613, Building 8, No 865 Changning Road, Shanghai, China; and Room 604, Xinweijiayuan, 1455 Pincheng Road, Shanghai, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
Chinese Academy of Sciences Technology and Engineering Center for Space Utilization, a.k.a., the following four aliases: —CAS Technology and Engineering Center for Space Utilization; —CSU; —CSU CAS; and —Space Application Center. No. 9, Deng Zhuang South Rd., Hai Dian Dist, Beijing, 100094, China; and No. 9, Dengzhuang South Road, Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 14035, 3/28/25.
Chinese Flight Test Establishment, a.k.a. the following six aliases: —630 Institute of China Aeronautical Research Institute; —Aviation Industry Test Flight Center; —AVIC Flight Test Center; —CFTE; —China CFTE; and —Yanliang Test Flight Institute. 8th Testing Flying Courtyard Road, Yanliang District, Xi'an City, Shaanxi Province, China; and CFTE Rd Yanliang District, Xi'an, China; and Renmin Road, Yanliang District, Xi'an City, Shaanxi Province, China; and Hong91 Building 357 Unit 39, Xi'an City, China; and No. 8 Shifeiyuan Road, Yanliang District, Xi'an, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 88 FR 38741, 6/14/23.
Chipgoo Electronics Limited, a.k.a., the following seven aliases: —Chipgoo; —Chipgoo Technology; —Endezo Technology (Hong Kong) Limited; —Endezo Technology; —Endezo; —Shenzhen Yindezhou Technology Co., Ltd.; and —Shenzhen Yindezhou Technology. Unit 318 (WL602), 3rd Floor, Sunbeam Centre, 27 Shing Yip St, Kwun Tong, Kowloon, Hong Kong; and Rm A29, 24th Floor, Regent's Park Prince Industrial Building, 706 Prince Edward Rd. East, Kowloon, Hong Kong; and Room 13, 27/F, Ho King Commercial Center, 2-16 Fa Yuen Street, Mong Kok, Kowloon, Hong Kong; and Room G, 26th Floor, Hangdu Building, No. 1006 Haufu Road, Futian District, Shenzhen, China; and Room 1223, New Asia Guoli Building, Zhonghang Road, Huaqiang North Subdistrict, Futian, Shenzhen, China. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 89 FR 68548, 8/27/24.
Chipwinone Electronics Co., Limited, R1618, B Building, Jiahe Tower, No. 3006 Shennan Middle Road, Shenzhen, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 38925, 6/30/22.
Chitron Electronics Company Ltd, a.k.a., the following one alias:—Chi-Chuang Electronics Company Ltd (Chitron-Shenzhen). 2127 Sungang Rd, Huatong Bldg, 19/F, Louhu Dist, Shenzhen, China 518001; and 169 Fucheng Rd, Fenggu Bldg., 7/F, Mianyang, China 621000; and Zhi Chun Rd, No 2 Bldg of Hoajing jiayuan, Suite #804, Haidian Dist, Beijing, China 100086; and 40 North Chang'an Rd, Xi'an Electronics Plaza Suite #516, Xi'an, China 710061; and 9 Huapu Rd, Chengbei Electronics & Apparatus Mall, 1/F Suite #39, Chengdu, China 610081; and 2 North Linping Rd Bldg 1. Suite #1706, Hongkou Dist, Shanghai, China 200086; and 6 Shing Yip St. Prosperity Plaza 26/F, Suite #06, Kwun Tong, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 1701, 1/13/10.85 FR 83769, 12/23/20.
Cho-Man Wong, Room 2608, Technology Plaza 29-35 Sha Tsui Road Tsuen Wan, Hong Kong; and Unit 803, Fourseas Building, 208-212 Nathan Road, Kowloon, Hong Kong; and Room 803, Fourseas Bldg 208-212 Nathan Rd, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 63184, 10/12/11.79 FR 56003, 9/18/14.85 FR 83769, 12/23/20.
Chong Zhou, Room 602, Building No. 4, Jimen East, Haidian District, Beijing 100081. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 83420, 12/22/20.
Chongqing Chuandong Shipbuilding Industry Co Ltd., Shuanghekou, Lidu Town, Fuling District, Chongqing, China 408102. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 83420, 12/22/20.
Chongqing Southwest Integrated Circuit Design Co., Ltd., a.k.a., and the following two aliases: —SWID; and —Chongqing Southwest Integrate. 19th Floor, Unit 2, Building 3, No. 15 Danlong Road, Chongqing, China; and No. 14 Nanping Huayuan Road, Chongqing, China; and Room 202, No. 23, Xiyong Avenue, Shapingba District, Chongqing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 14035, 3/28/25.
Chongxin Bada Technology Development Co., Ltd., No. 13 Hangfeng Road, Science City, Fengtai, Beijing, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 52901, 8/27/20.
Chuangxinda Electronics-Tech Co., Ltd., a.k.a., the following two aliases:—CXDA; and—Chuangxinda Electronics Company Limited. R1811 B Building, Jiahe Tower, No. 3006 Shennan Middle Road, Shenzhen, China 518031; and Unit 614, 6/F., Block A, Po Lung Ctr, No. 11 Wang Chiu Road, Kowloon Bay, Kowloon, Hong Kong; and Rm. 311, 3/F, Genplas Industrial Building 56 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong; and No. 11 Wang Chiu Road Unit 614A 6F Po Lung Centre, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 38925, 6/30/22.
Cinty Int'l (HK) Industry Co., Limited, a.k.a., the following five aliases: —Cinty International HK Industry Co. Ltd.; —Cinty Int'l HK Industry Co., Ltd.; —HK Cinty Co., Limited; —Cinty Semiconductor Limited; and —HKCinty Electronics. Rm 3008-3009, Block A, Jiahe Huaqiang Bulding, Shennan Road, Huaqiangbei Neighborhood, Futian District, Shenzhen, Guangdong, 518039, China; and Office No.3, 10/F, Witty Commercial Building, 1A-1L Tung Choi Street, Mong Kok, Kowloon, Hong Kong; and Rm 1808, Dynamic World Building, Zhonghang Rd., Shenzhen, Guangdong, 518031, China; and Room 2208, LeiZhen Building, 40 Fuming Rd., Futian District, Shenzhen, Guangdong, 518031, China. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 89 FR 68548, 8/27/24.
CLC Holdings Limited, a.k.a., the following one alias:—CLC Xpress. Flat 2808, 28/F, Asia Trade Centre, 79 Lei Muk Road, Kwai Chung, N.T., Hong Kong; and Units 801-803 and 805, Park Sun Building, No. 97-107 Wo Yi Hop Road, Kwai Chung, N.T., Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 83 FR 44824, 9/4/18.84 FR 40241, 8/14/19.85 FR 83769, 12/23/20.
Cloudmax Tech Co., Limited, a.k.a., the following one alias: —YSX Tech Co., Limited. Room 1316-1318, Metropolitan Heights at Century Place, Du Hui Xuan Building, Zhong Hang Road, Futian District, Shenzhen, Guangdong, 518031, China; and Room A, 15/F, Goldfield Industrial Building, 144-150 Tai Lin Pai Road, Kwai Chung, Hong Kong; and 2/F, Block 6, No.2 Robot Industrial Park, 8th Road, Yangchung Industrial Zone, Shapu Community, Songgang Subdistrict, Bao'an District, Shenzhen, Guangdong, 518105, China; and Wonderful Life Building, No. 4 Donghai Rd, Yantian District, Shenzhen, Guangdong, 518083, China; and Ko Fai Industrial Building, No.7 Ko Fai Road, Yau Tong, Kowloon, Hong Kong; and 1/F, Block 1, Zhuguang Chuangxin Technology Park, Zhuguang Road, Xili Subdistrict, Nanshan District, Shenzhen, Guangdong, 518055, China; and Room 2404, Du Hui Xuan Building, Zhong Hang Road, Futian District, Shenzhen, Guangdong, 518031, China. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 89 FR 68548, 8/27/24.
Cloudminds (Hong Kong) Limited, 10/F Massmutual Twr 33, Lockhart Rd, Wan Chai, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 34497, 6/5/20.85 FR 83769, 12/23/20.
CloudWalk Technology, a.k.a., the following four aliases:—Chongqing Cloudwalk Technology Co., Ltd.;—Guangzhou Yunshang Information Technology Co., Ltd.;—Yun Cong Information Technology Co. Ltd.; and—Yun Cong Technology. 1306 Room, No. 26, Jinlong Road, Nansha District, Guangzhou, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Case-by-case review for ECCNs 1A004.c, 1A004.d, 1A995, 1A999.a, 1D003, 2A983, 2D983, and 2E983, and for EAR99 items described in the Note to ECCN 1A995; case-by-case review for items necessary to detect, identify and treat infectious disease; and presumption of denial for all other items subject to the EAR | 85 FR 34505, 6/5/20.85 FR 44161, 7/22/20.
CNOOC Limited (a subsidiary of China National Offshore Oil Corporation), No. 25 Chaoyangmen North Street, Dongcheng District, Beijing, 100010, China; and 65th Floor, Bank of China Tower, 1 Garden Road, Hong Kong. | All items subject to the EAR except for:—crude oil, condensates, aromatics, natural gas liquids, hydrocarbon gas liquids, natural gas plant liquids, refined petroleum products, liquefied natural gas, natural gas, synthetic natural gas, and compressed natural gas under the following Harmonized System (HS) codes: 271111, 2711210000, 2711210000, 2709, 2709002010, 2707, 27075000, 2710, 271019, 271112, 271113, 271114, 271119, 27111990, 271311, 271312, 271012250, 2901, 290511, 2701, 29109020, 29151310, 29155020, 29156050, 29159020, 29161210, 29280025, 29321910, 29362920, 29419030, 2909300000, 2917194500, 2922504500, 2924296000, 2925294500, 2928002500, 2933194350; or—items required for the continued operation of joint ventures with persons from countries in Country Group A:1 in supplement no. 1 to part 740 of the EAR not operating in any body of water, or the airspace above any body of water, within the following coordinates:Upper Left:26°4′48.931″ N104°31′41.383″ EUpper Right:26°4′48.931″ N123°19′22.225″ ELower Right:0°0′0.00″ N123°19′22.225″ ELower Left:0°0′0.00″ N104°31′41.383″ E | Presumption of denial | 86 FR 4864, 1/14/21.87 FR 38925, 6/30/22.
Comsum Technologies (Group) Ltd., Room 408, Unit 6, Xin Qi Dian Jia Yan, 5 Chang Qiao Road, Beijing, 100089, China; and Room 1005, 10/F Carnarvon Plaza, 20 Carnarvon Road, TST, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 78 FR 75463, 12/12/13.85 FR 83769, 12/23/20.
Comtel Technology Limited, Building A2-3, Haufeng Industrial Park, Shiyan, Baoan District, Shenzhen, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 71559, 12/17/21.
Connec Electronic Ltd., a.k.a., the following two aliases:—Suzhou Konecot Electronics; and—Suzhou Ke Nai Ke Te Dianzi Youxian Gongsi. Room 1110, No 168, Fenjiang Road, Mudu Town, Wuzhong District, Suzhou City, China; and 5015 East Shennan Rd, Shenzhen, China; and 10/F., Flat U Valiant Industrial Centre, 2 to 12 Au Pui Wan Street, Hong Kong. (See alternate addresses under United Kingdom). | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of Denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 87 FR 38925, 6/30/22. 87 FR 57082, 9/16/22.
Corad Technology Limited, a.k.a., the following one alias:—Corad Technology (China) Limited. Unit 1306, 13/F, Nanyang Plaza 57 Hung To Road Kwun Tong, Hong Kong; and Room K, 5/F, Winner Factory Building No. 55 Hung To Road Kwun Tong Kowloon, Hong Kong. (See also addresses under Taiwan for this entry, which is listed as Corad Taiwan Representative Office) | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 84 FR 40241, 8/14/19, 85 FR 83769, 12/23/20. 86 FR 67319, 11/26/21.
Corad Technology (Shenzhen) Ltd., a.k.a., the following one alias:—Corad Technology Ltd. (Shenzhen). Rm 0919 1# Xinye Bldg, NO388 Tianlin Road, Shanghai, China 518033. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 86 FR 67319, 11/26/21.
Corezing International, a.k.a., the following five aliases:—CoreZing Electronics;—Corezing International Group Company;—Corezing International Pte Ltd;—Corezing Technology Pte Ltd; and—Core Zing. Room 1007, Block C2, Galaxy Century Bldg., CaiTian Rd., FuTian District, Shenzhen, China; and Room 1702, Tower B, Honesty Building, Humen, Dongguan, Guangdong, China; and G/F, No. 89, Fuyan Street, Kwun Tong, Hong Kong; and Flat 12, 9F Po Hong Kong, 2 Wang Tung Street, Kowloon Bay, Hong Kong; and Flat/RM B 8/F, Chong Ming Bldg., 72 Cheung Sha Wan Road KL, Hong Kong; and FlatiRM 2309, 23/F, Ho King COMM Center, 2-16 Fa Yuen Street, Mongkok KLN, Hong Kong (See alternate address under Singapore). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 67062, 10/31/11.85 FR 83769, 12/23/20.
CSIC Pride (Nanjing) Cryogenic Technology Co., Ltd., a.k.a., the following three aliases: —Pride Cryogenics; —Easycool; and —CSIC Pengli (Nanjing) Ultra-low Temperature Technology Co., Ltd. No. 32 Changqing Street, Jiangning Development Zone, Nanjing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 41888, 5/14/24.
CSSC Electronic Technology, 40 South Fangcun Main Rd., Liwan District, Guangzhou, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 87 FR 38925, 6/30/22.
CSSC Huangpu Wenchong Shipbuilding Co., Ltd., No. 188 Changzhou Road, Huangpu District, Guangzhou, China. | All items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 85 FR 83420, 12/22/20.
Dahua Technology, 807, Block A, Meike Building No. 506, Beijing South Road, New City, Urumqi, Xinjiang, China; 1199 Bin'an Road, Binjiang High-tech Zone, Hangzhou, China; and 6/F, Block A, Dacheng Erya, Huizhan Avenue, Urumqi, China; and No. 1187, Bin'an Road, Binjiang District, Hangzhou City, Zhejiang Province, China. | For all items subject to the EAR. (See §§ 734.9(e) and 744.11 of the EAR) 4 | Presumption of denial | 84 FR 54004, 10/9/19. 85 FR 44159, 7/22/20. 87 FR 62202, 10/13/22.
Dalian Ligong Safety Equipment Company Limited, No. 26 Liaohe East Road, Double D Port, Economic and Technological Development Zone, Dalian, China 116620. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 24565, 5/1/14.
Dennex Enterprises Limited, 2 Ice House Street, Room 303, 3rd Floor, St. George's Building, Hong Kong. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.2l(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 89 FR 14388, 2/27/24.
Detail Technology (HK) Limited, a.k.a., the following four aliases: —Ditai Technology; —Shenzhen Ditai Technology Со., Ltd.; —Detail Technology Global Ltd; and —Ditai Keji Xianggang Youxian Gongsi. Room 2309, 23/F, Но King Commercial Center, 16 Fayuen Street, Mongkok Kowloon, Hong Kong; and Room F, 11th Floor, Hainiog Plaza, Langhua District, Shenzhen, China; and Room F, Floor 11, Longhua District, Shenzhen City, GuangDong, Province, China; and 10F, Kras Asia Industrial Building, No. 79 Hung to Road, Kwun Tong, Kowloon, Hong Kong. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 84462, 10/23/24.
DGT Technology (HK) Co., Limited, a.k.a., the following two aliases: —DGT Technology HK Co., Limited; and —DGT Technology. Room 5303, SEG Plaza, Huaqiang North Road, Futian District, Shenzhen, Guangdong, 518027, China; and Room 5258, 52nd Floor, Huaqiang North Road, Futian District, Shenzhen, Guangdong, China; and Room 803, Chevalier House, 45-51 Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong; and Room 836, 8/F, Beverley Commercial Centre, 87-105 Chatham Road South, Tsim Sha Tsui, Kowloon, Hong Kong. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 89 FR 68548, 8/27/24.
Dick Kuo, Ltd., Room 9-11, 5/F, Block B, Hoplite Industrial Centre, 3-5 Wang Tai Road, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 7359, 2/19/10.85 FR 83769, 12/23/20.
Dick Leung, GF Seapower Industrial Building 177, Hoi Bun Road, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 75 FR 7359, 2/19/10.85 FR 83769, 12/23/20.
DJI, a.k.a., the following four aliases:—Shenzhen DJI Innovation Technology Co., Ltd.;—SZ DJI Technology Co., Ltd.;—Shenzhen DJI Sciences and Technologies Ltd.; and—Da-Jiang Innovations. 14 Floor, West Wing, Skyworth Semiconductor Design Building, No.18 Gaoxin South 4th Ave., Nanshan District, Shenzhen, China, 518057. | All items subject to the EAR. (See § 744.11 of the EAR), except for EAR99-designated technology for the operation, maintenance, or repair of unmanned aerial vehicles (UAV) released to this entity by the operator of the UAV | Case-by-case review for items necessary to detect, identify and treat infectious disease; Presumption of denial for all other items subject to the EAR | 85 FR 83420, 12/22/20. 86 FR 29193, 6/1/21.
Dongfang Jingyuan Electron Co., Ltd., a.k.a., the following five aliases: —DJEL; —Dongfang Jingyuan Electron Limited; —Oriental Crystal Microelectronics Technology (Beijing Co., Ltd.); —Dongfang Jingyuan Micro-Electronic Technology (Beijing) Co., Ltd.; and —Oriental Crystal Source. No. 156 Jinghai 4th Road, Building 12, Beijing Economic and Technological Development Zone, Beijing, China and No. 156 Jinghai 4th Road, Building A4, Beijing Economic and Technological Development Zone, Beijing, China and Room 301F, Block C, Yingdali Technology Digital Park, Futian Free Trade Zone, Fubao Street, Futian District, Shenzhen, China and Building 12, Yard 156, Jinghai 4th Road, Economic and Technological Development Zone Beijing, 100001, China. | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 89 FR 96836, 12/5/24.
Dongguan Huawei Service Co., Ltd., Dongguan, Guangdong, China. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 22963, 5/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
Dongguan Lingkong Remote Sensing Technology Co., Ltd., a.k.a., the following one alias: —Dongguan Lingkong Yaogan Technology Co., Ltd. Building 6, Dongfeng Science and Technology Park, Songshan Lake, Dongguan City, Guangdong Province, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 9390, 2/14/23.
Dongguan Lvyuan Industry Investment Co., Ltd., Dongguan, Guangdong, China. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 22963, 5/21/19. 85 FR 29852, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
Duling Technology (HK) Limited, 2-16 Fayuen Street, Room 4, 16th Floor, Ho King Commercial Centre, Mongkok, Kowloon, Hong Kong. | For all items subject to the EAR (See §§ 744.8(b), 744.11, 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 89 FR 51652, 6/18/24.
E-Chips Solution Co. Ltd., a.k.a., the following one alias: —Yichuangxin International Ltd. Shen Nan Road Block A, JiaHe HuaQiang Building, Room 3008, Futian District, Shenzhen, Guangdong, 518031, China. | For all items subject to the EAR. (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 88 FR 70353, 10/11/23. 89 FR 87265, 11/1/24.
Eagles Men Aviation Science and Technology Group Co., Ltd., a.k.a., the following two aliases: —Beijing Yige Siman Aviation Technology Group Co., Ltd.; and —EMAST. Room 1113, No. 1 Zhichun Road, Haidian District, Beijing, China; and Room 314, 3rd Floor, Block C, Zhizao Street, Zhongguancun, No. 45 Chengfu Road, Haidian District, Beijing, China; and Eagles Men Building, No. 7 Wande Zhihui Center, Changping District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 9390, 2/14/23.
Eastech Electronics Limited, a.k.a., the following seven aliases: —Eastech Electronics Ltd.; —Eastech Electronics; —Shenzhen East Technology Limited; —Shenzhen Yitai Technology Co., Ltd.; —Yitai Technology; —Yitai International Electronics Co., Ltd.; and —EASTECH. Room 17F, Block A Huaqiang Square, No.1019 Huaqiang North Road, Futian District, Shenzhen, Guangdong, China; and Room 12F, Block A, Duhui 100 Building, Zhonghang Road, Futian District, Shenzhen, Guangdong, China; and Room 2703, Tower West, Hangyuan Building, No.175 Zhenhua Road, Futian District, Shenzhen, Guangdong, China; and Room B5, 1/F, Manning Industrial Building, 116-118 How Ming St., Kwun Tong, Hong Kong; and Room 32, 11/F, Lee Ka Industrial Building, 8 Ng Fong Street, San Po Kong, Kowloon, Hong Kong; and Workshop 60, 3/F, Block A, East Sun Industrial Centre, 16 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.11 of the EAR) | Policy of denial for all items subject to the EAR. See § 746.8(b) | 89 FR 68548, 8/27/24.
Easy Fly Intelligent Technology Co., Ltd., a.k.a., the following three aliases: —Wuhan Drone Home Information Technology Co. Ltd.; —Wuhan Yifei Intelligent Management Consulting Partnership (Limited Partnership); and —Yifei Intelligent Technology (Wuhan) Co., Ltd. 4th Floor, 7th Building of Sun, City of Gezhou Dam, Gaoxin 4th Road, East Lake New Technology Development Zone, Wuhan, 430000, China; and East Lake Development Zone, Wuhan City High Tech Four Road, Gezhouba Dam City, 4 Buildings, 7 Buildings, Wuhan, 430000, China; and Room 1, Building 7, No. 40, Wuhan, Hubei Province 434400, China; and Gezhouba Sun City, No. 40, Gaoxin 4th Road, Building 7, 4th Floor, Room 1, East Lake New Technology Development Zone, Wuhan, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 48195, 10/9/25.
Edward Fan, Hucun, Huafeng Town, Ningyang County, Tai'an City, Shandong Province, China | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 81 FR 14958, 3/21/16. 84 FR 40241, 8/14/19.
